t,__msgtype__,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,header.__msgtype__,header.frame_id,header.stamp.__msgtype__,header.stamp.nanosec,header.stamp.sec,mag_x,mag_y,mag_z
1724164488.005217,messages/msg/IMU,-63.0,33.0,-995.0,57.0,-42.0,-44.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,3916740,1724164488,0.0,0.0,0.0
1724164488.0700586,messages/msg/IMU,-63.0,33.0,-995.0,57.0,-42.0,-44.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,68750858,1724164488,0.0,0.0,0.0
1724164488.1285338,messages/msg/IMU,-38.0,23.0,-989.0,58.0,-24.0,-18.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,127596378,1724164488,0.0,0.0,0.0
1724164488.1780388,messages/msg/IMU,-38.0,23.0,-989.0,58.0,-24.0,-18.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,177463531,1724164488,0.0,0.0,0.0
1724164488.248102,messages/msg/IMU,-53.0,37.0,-988.0,52.0,-5.0,-4.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,247276544,1724164488,0.0,0.0,0.0
1724164488.2988267,messages/msg/IMU,-47.0,20.0,-998.0,25.0,13.0,11.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,298143625,1724164488,0.0,0.0,0.0
1724164488.3545647,messages/msg/IMU,-47.0,20.0,-998.0,25.0,13.0,11.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,353992223,1724164488,0.0,0.0,0.0
1724164488.431229,messages/msg/IMU,-28.0,18.0,-992.0,24.0,36.0,36.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,430821180,1724164488,0.0,0.0,0.0
1724164488.4746852,messages/msg/IMU,-28.0,18.0,-992.0,24.0,36.0,36.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,473795890,1724164488,0.0,0.0,0.0
1724164488.5227716,messages/msg/IMU,-27.0,19.0,-988.0,11.0,61.0,47.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,521633625,1724164488,0.0,0.0,0.0
1724164488.5883794,messages/msg/IMU,-27.0,19.0,-988.0,11.0,61.0,47.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,587458610,1724164488,0.0,0.0,0.0
1724164488.6437812,messages/msg/IMU,-21.0,11.0,-1000.0,10.0,71.0,43.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,643345832,1724164488,0.0,0.0,0.0
1724164488.6951349,messages/msg/IMU,-23.0,-2.0,-989.0,7.0,67.0,0.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,694230079,1724164488,0.0,0.0,0.0
1724164488.7403154,messages/msg/IMU,-23.0,-2.0,-989.0,7.0,67.0,0.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,740106344,1724164488,0.0,0.0,0.0
1724164488.8095224,messages/msg/IMU,5.0,4.0,-997.0,8.0,54.0,-91.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,808921813,1724164488,0.0,0.0,0.0
1724164488.8628283,messages/msg/IMU,5.0,4.0,-997.0,8.0,54.0,-91.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,861780166,1724164488,0.0,0.0,0.0
1724164488.93351,messages/msg/IMU,8.0,4.0,-993.0,6.0,56.0,-87.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,932592391,1724164488,0.0,0.0,0.0
1724164488.9887962,messages/msg/IMU,8.0,4.0,-993.0,6.0,56.0,-87.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,987444162,1724164488,0.0,0.0,0.0
1724164489.0394533,messages/msg/IMU,17.0,5.0,-1002.0,-19.0,67.0,-77.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,38347244,1724164489,0.0,0.0,0.0
1724164489.0915196,messages/msg/IMU,17.0,5.0,-1002.0,-19.0,67.0,-77.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,90781927,1724164489,0.0,0.0,0.0
1724164489.1673965,messages/msg/IMU,1.0,18.0,-999.0,-23.0,71.0,-48.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,166544675,1724164489,0.0,0.0,0.0
1724164489.2366536,messages/msg/IMU,22.0,10.0,-1001.0,-31.0,81.0,-23.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,236000061,1724164489,0.0,0.0,0.0
1724164489.3197372,messages/msg/IMU,1.0,15.0,-992.0,-41.0,64.0,-19.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,318778276,1724164489,0.0,0.0,0.0
1724164489.372776,messages/msg/IMU,1.0,15.0,-992.0,-41.0,64.0,-19.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,371637821,1724164489,0.0,0.0,0.0
1724164489.4206092,messages/msg/IMU,1.0,14.0,-997.0,-38.0,32.0,-13.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,419553041,1724164489,0.0,0.0,0.0
1724164489.479099,messages/msg/IMU,1.0,14.0,-997.0,-38.0,32.0,-13.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,478639602,1724164489,0.0,0.0,0.0
1724164489.5408976,messages/msg/IMU,13.0,6.0,-992.0,-20.0,-3.0,-28.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,540472269,1724164489,0.0,0.0,0.0
1724164489.607908,messages/msg/IMU,3.0,27.0,-994.0,-17.0,-34.0,-37.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,607293844,1724164489,0.0,0.0,0.0
1724164489.6627145,messages/msg/IMU,3.0,27.0,-994.0,-17.0,-34.0,-37.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,662147045,1724164489,0.0,0.0,0.0
1724164489.7128654,messages/msg/IMU,4.0,12.0,-988.0,-13.0,-56.0,-34.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,712520122,1724164489,0.0,0.0,0.0
1724164489.7668004,messages/msg/IMU,4.0,12.0,-988.0,-13.0,-56.0,-34.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,766376733,1724164489,0.0,0.0,0.0
1724164489.8323328,messages/msg/IMU,-3.0,38.0,-998.0,-15.0,-74.0,-33.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,831710815,1724164489,0.0,0.0,0.0
1724164489.8844826,messages/msg/IMU,-3.0,38.0,-998.0,-15.0,-74.0,-33.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,883570909,1724164489,0.0,0.0,0.0
1724164489.9282315,messages/msg/IMU,-3.0,28.0,-990.0,-1.0,-74.0,-40.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,927403450,1724164489,0.0,0.0,0.0
1724164489.9890344,messages/msg/IMU,-3.0,28.0,-990.0,-1.0,-74.0,-40.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,987244844,1724164489,0.0,0.0,0.0
1724164490.060042,messages/msg/IMU,-16.0,31.0,-996.0,4.0,-62.0,-24.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,59050559,1724164490,0.0,0.0,0.0
1724164490.1283488,messages/msg/IMU,-11.0,22.0,-998.0,0.0,-46.0,-1.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,127867221,1724164490,0.0,0.0,0.0
1724164490.1842093,messages/msg/IMU,-11.0,22.0,-998.0,0.0,-46.0,-1.0,std_msgs/msg/Header,,builtin_interfaces/msg/Time,183720111,1724164490,0.0,0.0,0.0
